Spieler,Verein,Liga,Liga (voll),Alter,Altersband,Fuß,Größe (cm),Minuten,PSV-99,Top-5 PSV-99,Speed Flag,Speed Score,Δ PSV-99,HSR P60BIP,Sprint P60BIP,HI-Dist P60BIP,Expl.Acc BIP,BIP Score,BIP Level,Δ HSR BIP,HSR OTIP P30,Sprint OTIP P30,HI-Dist OTIP P30,Expl.Acc OTIP,OTIP Score,OTIP Pass,Δ HSR OTIP,Time→HSR (s),Time→HSR CoD (s),Time→Sprint (s),Time→505° (s),Burst Score,Δ T→HSR,Physical Score,IFI Raw,IFI Percentile,IFI Label,IFI Punkte,Box Threat,Dribbling,Finishing,Involvement,Passing Quality,Pressing,Providing Teammates,Run Quality,Pct_Box Threat,Pct_Dribbling,Pct_Finishing,Pct_Involvement,Pct_Passing Quality,Pct_Pressing,Pct_Providing Teammates,Pct_Run Quality,Lbl_Box Threat,Lbl_Dribbling,Lbl_Finishing,Lbl_Involvement,Lbl_Passing Quality,Lbl_Pressing,Lbl_Providing Teammates,Lbl_Run Quality,Final Total,Final Tier,Spielertyp,Transfer Score,Transferwert (€)
Danijel Šturm,Sigma Olomouc,SVN,SVN - 1. SNL,27,24+,Right,182.0,999,31.49,32.46,🔵 HIGH,3,2.04,801.35,430.84,1232.19,2.97,4,🔼 HIGH,11.8,483.67,225.0,708.67,1.55,4,✅ YES,96.8,0.6,0.62,1.14,1.91,4,-0.06,18.0,0.586,0.867,STRONG,4,0.4657988204891455,1.226920981156836,1.8696734834549509,-0.2515413041208649,0.0354039961076114,-0.4123846953598295,0.8115871225949502,0.9396206954324016,0.703,0.894,0.946,0.404,0.529,0.315,0.818,0.823,AVERAGE,STRONG,ELITE,BELOW,AVERAGE,BELOW,STRONG,STRONG,22.0,🔥 ELITE TARGET,Dribbler,0.355519970498652,300000.0
Camilo Mena,Lechia Gdańsk,POL 1,POL - Ekstraklasa,24,24+,Right,175.0,2370,31.33,33.34,🔵 HIGH,3,1.88,801.51,425.17,1226.68,3.5,4,🔼 HIGH,11.9,385.81,162.72,548.53,0.87,3,✅ YES,-1.1,0.57,0.56,1.1,1.85,4,-0.09,16.5,0.715,0.911,ELITE,5,0.296665544817282,0.7405989289846854,-0.4633731155027712,1.8642739352050528,0.8978670754793822,0.673666678022041,0.6035747790233063,1.1064487592108838,0.635,0.795,0.443,0.969,0.822,0.828,0.75,0.862,AVERAGE,STRONG,BELOW,ELITE,STRONG,STRONG,STRONG,STRONG,21.5,🔥 ELITE TARGET,Tiefenläufer,0.6289855903569409,1200000.0
Papalélé,Opava,CZE 2,CZE - FNL,28,24+,Right,174.0,1673,32.4,34.04,⚡ ELITE,4,2.95,713.48,442.43,1155.91,2.85,3,🔼 HIGH,-76.1,268.72,135.72,404.44,0.62,2,✅ YES,-118.2,0.54,0.54,1.02,1.9,4,-0.12,16.0,0.779,0.929,ELITE,5,1.2043528912278023,1.8199656593537925,-0.737127581490964,0.0739906439758388,0.7299530467315296,-0.3428174479820937,1.2974664826651652,2.187353144531624,0.911,0.969,0.205,0.563,0.771,0.352,0.909,0.98,ELITE,ELITE,WEAK,AVERAGE,STRONG,BELOW,ELITE,ELITE,21.0,🔥 ELITE TARGET,Komplettflügel,0.5033676276735368,175000.0
Capita,Radomiak Radom,POL 1,POL - Ekstraklasa,24,24+,Left,171.0,1331,31.59,33.54,🔵 HIGH,3,2.14,853.01,441.68,1294.69,3.13,4,🔼 HIGH,63.4,414.98,154.2,569.18,0.98,4,✅ YES,28.1,0.57,0.6,1.14,1.8,4,-0.09,18.0,0.307,0.695,AVERAGE,3,1.4122999980156203,0.2699621106060371,0.4792328140724594,-0.506833510943647,-0.7916388294623008,0.0271051771789791,-0.1419936471230447,1.703894873603661,0.938,0.623,0.693,0.279,0.183,0.575,0.426,0.947,ELITE,AVERAGE,AVERAGE,BELOW,WEAK,AVERAGE,BELOW,ELITE,21.0,🔥 ELITE TARGET,Tiefenläufer + Box,0.294705784214409,
Sergiy Krykun,Łódzki KS,POL 2,POL - I liga,30,24+,Right,175.0,872,31.26,31.84,🔵 HIGH,3,1.81,907.64,462.55,1370.18,3.52,4,🔼 HIGH,118.0,452.44,158.38,610.83,1.01,4,✅ YES,65.5,0.58,0.6,1.19,1.93,4,-0.08,18.0,0.331,0.724,AVERAGE,3,-0.4149489960228047,1.732316947758836,-0.3290334256390552,-0.2321523891274688,0.5064144032916346,0.7703330601833455,0.9114941318110632,-0.2992906656239114,0.276,0.962,0.492,0.426,0.706,0.848,0.846,0.356,BELOW,ELITE,BELOW,BELOW,AVERAGE,STRONG,STRONG,BELOW,21.0,🔥 ELITE TARGET,Dribbler,-0.0790842403711677,200000.0
Hilary Gong,Spartak Trnava,SVK,SVK - Niké Liga,28,24+,Right,169.0,469,30.96,31.54,🟡 FAST,2,1.51,867.41,441.45,1308.86,3.36,4,🔼 HIGH,77.8,454.11,144.62,598.73,1.17,4,✅ YES,67.2,0.61,0.68,1.17,1.94,3,-0.05,15.5,0.752,0.917,ELITE,5,1.633173530436851,-0.1970359548829801,1.8935536473732832,0.7764420787602896,0.2764107776936915,2.016548495765525,0.7594448686565776,-1.1442477317635271,0.967,0.407,0.949,0.833,0.63,0.989,0.8,0.069,ELITE,BELOW,ELITE,STRONG,AVERAGE,ELITE,STRONG,WEAK,20.5,🔥 ELITE TARGET,Box-Threat,0.5607543294393627,350000.0
John Mercado,Sparta Praha,CZE 1,CZE - First League,24,24+,Left,186.0,977,30.92,32.14,🟡 FAST,2,1.47,810.92,402.13,1213.05,3.26,4,🔼 HIGH,21.3,438.26,217.41,655.68,1.31,4,✅ YES,51.3,0.58,0.61,1.15,1.85,4,-0.08,16.0,0.584,0.864,STRONG,4,-0.0222864741772584,1.4596223490463534,0.71102588681485,0.3134795007982089,0.4253803386367173,1.183985825182482,0.7278152575581881,-0.1281270079727029,0.472,0.935,0.759,0.655,0.686,0.926,0.789,0.443,BELOW,ELITE,STRONG,AVERAGE,AVERAGE,ELITE,STRONG,BELOW,20.0,🔥 ELITE TARGET,Dribbler,0.4771324613127454,1500000.0
Patryk Szwedzik,Ruch Chorzów,POL 2,POL - I liga,25,24+,Right,185.0,2260,31.21,32.96,🔵 HIGH,3,1.76,761.24,402.22,1163.46,2.71,3,🔼 HIGH,-28.4,390.13,156.6,546.73,0.81,4,✅ YES,3.2,0.56,0.56,0.99,1.8,4,-0.1,17.0,0.328,0.721,AVERAGE,3,1.121090625895102,0.3476917503455358,2.008247820136858,-0.6401487558515726,-0.4740514991112307,-0.5017812446589953,0.2186980897444854,0.5427795928053268,0.891,0.65,0.958,0.22,0.298,0.274,0.608,0.728,STRONG,AVERAGE,ELITE,WEAK,BELOW,BELOW,AVERAGE,AVERAGE,20.0,🔥 ELITE TARGET,Box-Threat,-0.0115621065024847,150000.0
Solomon John,Mladá Boleslav,CZE 1,CZE - First League,25,24+,Right,170.0,1299,31.02,32.24,🔵 HIGH,3,1.57,732.57,356.34,1088.92,2.2,3,🔼 HIGH,-57.0,372.29,148.91,521.2,0.7,3,✅ YES,-14.6,0.56,0.59,1.25,1.87,4,-0.1,15.5,0.394,0.771,STRONG,4,0.4978899054432314,1.147614017681212,1.5952236260412525,-0.349257335085238,-0.647250666060039,-0.8654870247805667,0.414926923806746,1.3612922082846075,0.719,0.884,0.926,0.343,0.22,0.136,0.69,0.9,AVERAGE,STRONG,ELITE,BELOW,WEAK,WEAK,AVERAGE,ELITE,19.5,🟢 TOP TARGET,Läufer + Dribbler,0.2175885207268172,
Lukáš Provod,Slavia Praha,CZE 1,CZE - First League,30,24+,Left,191.0,1660,30.28,32.04,🟠 MEDIUM,1,0.83,941.69,434.33,1376.02,2.13,4,🔼 HIGH,152.1,401.55,151.98,553.53,1.25,4,✅ YES,14.6,0.65,0.65,1.31,1.86,4,-0.01,14.0,0.817,0.946,ELITE,5,-0.049610469439896,0.3275690899197392,-0.1925911538220008,1.6190873018308116,2.177306708689088,0.8386408013953444,1.650678283921999,0.1628995075268523,0.456,0.644,0.515,0.951,0.978,0.868,0.949,0.546,BELOW,AVERAGE,AVERAGE,ELITE,ELITE,STRONG,ELITE,AVERAGE,19.0,🟢 TOP TARGET,Keins dominant,0.6378093998169919,5500000.0
